dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,casual,registered,cnt,season_holiday
2011-01-01,Spring,2011,January,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",331,654,985,Spring_not holiday
2011-01-02,Spring,2011,January,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",131,670,801,Spring_not holiday
2011-01-03,Spring,2011,January,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",120,1229,1349,Spring_not holiday
2011-01-04,Spring,2011,January,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",108,1454,1562,Spring_not holiday
2011-01-05,Spring,2011,January,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",82,1518,1600,Spring_not holiday
2011-01-06,Spring,2011,January,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",88,1518,1606,Spring_not holiday
2011-01-07,Spring,2011,January,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",148,1362,1510,Spring_not holiday
2011-01-08,Spring,2011,January,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",68,891,959,Spring_not holiday
2011-01-09,Spring,2011,January,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",54,768,822,Spring_not holiday
2011-01-10,Spring,2011,January,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",41,1280,1321,Spring_not holiday
2011-01-11,Spring,2011,January,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",43,1220,1263,Spring_not holiday
2011-01-12,Spring,2011,January,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",25,1137,1162,Spring_not holiday
2011-01-13,Spring,2011,January,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",38,1368,1406,Spring_not holiday
2011-01-14,Spring,2011,January,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",54,1367,1421,Spring_not holiday
2011-01-15,Spring,2011,January,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",222,1026,1248,Spring_not holiday
2011-01-16,Spring,2011,January,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",251,953,1204,Spring_not holiday
2011-01-17,Spring,2011,January,holiday,monday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",117,883,1000,Spring_holiday
2011-01-18,Spring,2011,January,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9,674,683,Spring_not holiday
2011-01-19,Spring,2011,January,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",78,1572,1650,Spring_not holiday
2011-01-20,Spring,2011,January,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",83,1844,1927,Spring_not holiday
2011-01-21,Spring,2011,January,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",75,1468,1543,Spring_not holiday
2011-01-22,Spring,2011,January,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",93,888,981,Spring_not holiday
2011-01-23,Spring,2011,January,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",150,836,986,Spring_not holiday
2011-01-24,Spring,2011,January,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",86,1330,1416,Spring_not holiday
2011-01-25,Spring,2011,January,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",186,1799,1985,Spring_not holiday
2011-01-26,Spring,2011,January,not holiday,wednesday,not weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",34,472,506,Spring_not holiday
2011-01-27,Spring,2011,January,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",15,416,431,Spring_not holiday
